org_short_name,org_full_name,website,company_name,location,extra: resource_about
OCL,Open Concept Lab,http://www.openconceptlab.com/,Open Concept Lab,"Boston, MA, USA",
IHTSDO,International Health Terminology Standards Development Organisation,http://www.ihtsdo.org/,IHTSDO,"Copenhagen, Denmark",
WHO,World Health Organization,http://www.who.int/,WHO,"Geneva, Switzerland",
NLM,US National Library of Medicine,http://www.nlm.nih.gov/,US National Library of Medicine,"Bethesda, MD, USA",
Regenstrief,Regenstrief Institute,http://www.regenstrief.org/,"Regenstrief Institute, Inc.","Indianapolis, IN, USA",
HL7,Health Level 7 International,http://www.hl7.org/,Health Level 7 International,"Ann Arbor, MI, USA",
PIH,Partners In Health,http://www.pih.org/,Partners In Health,"Boston, MA, USA",
AMPATH,AMPATH,http://www.ampathkenya.org/,AMPATH,"Eldoret, Kenya",
CIEL,Columbia International eHealth Laboratory,http://ciel.dbmi.columbia.edu/ciel/?q=content/columbia-international-ehealth-laboratory-ciel,Columbia University,"New York City, NY, USA",
OpenMRS,OpenMRS,http://www.openmrs.org/,OpenMRS,,
MVP,Millennium Villages Project,http://millenniumvillages.org/,"Earth Institute, Columbia University","New York City, NY, USA",
3BT,3BT,,,Belgium,
WICC,WONCA International Classification Committee,http://www.globalfamilydoctor.com/,World Organization of Family Doctors (WONCA),"Bangkok, Thailand","The International Classification of Primary Care (ICPC) is produced by the World Organization of National Colleges, Academies and Academic Associates of General Practitioners/Family Physicians (WONCA) now known as the World Organization of Family Doctors (Wonca). ICPC is maintained and updated by the International Classification Committee of Wonca (WICC)."
CCAM,Classification Commune des Actes Médicaux,,,"Beauvais, France",
IMO,Intelligent Medical Objects,https://www.e-imo.com/,"Intelligent Medical Objects, Inc.","Northbrook, IL, USA",
FDA,US Food and Drug Administration,http://www.fda.gov/,US Food and Drug Administration,"Silver Spring, MD, USA",
NCI,US National Cancer Institute,http://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus,US National Cancer Institute,"Bethesda, MD, USA",
VHA,US Veterans Health Administration,http://www.va.gov/health/,US Veterans Health Administration,"Washington, DC, USA",
